	logFC	AveExpr	t	P.Value	adj.P.Val	B
AF003934	5.01827500083818	10.3450827615931	19.7078787114444	1.43265392733166e-30	3.02691121766633e-26	59.0519349976497
AW054711	5.32307067876345	8.79781901705982	19.1586790350216	7.83634777017987e-30	6.51399987846902e-26	57.3963171222866
NM_024115	-4.67659208916493	6.35533349320188	-19.1056664825457	9.24933719964364e-30	6.51399987846902e-26	57.2346539783946
NM_001084	2.29673425680155	12.1385832397676	18.0838793740714	2.40276691925316e-28	1.26914148674952e-24	54.0534962155229
NM_006720	-3.79368804259001	9.89892098704788	-17.815094326158	5.7742376342274e-28	2.43996185471913e-24	53.1957071528735
NM_004049	3.35377635395797	9.15701357708937	17.602393251971	1.16261994214797e-27	4.09397235628373e-24	52.5105880865379
NM_001908	2.71467834299767	13.4409563218572	17.5405239533449	1.42653907095858e-27	4.30570249874469e-24	52.3102501544045
AW263232	-2.03821081970252	8.98675867230953	-16.8684724000685	1.35580849724347e-26	3.31272794071932e-23	50.1031397184177
NM_005720	3.06422807777382	13.3339530464048	16.8566796596277	1.41113931590656e-26	3.31272794071932e-23	50.0639004768876
NM_022969	-5.63097818703442	6.59686468158144	-16.6820489900745	2.55668001396252e-26	5.40175353350001e-23	49.4807548880438
BC003070	-4.73088236974136	9.60216724632412	-16.6264234961882	3.09194741584301e-26	5.93878772744828e-23	49.2941846053692
BC001283	-2.53484643411672	9.71222143341149	-16.4331328406671	6.00324797809706e-26	1.05697186067696e-22	48.6427882042033
NM_016307	-3.03524696395508	6.73796181492619	-16.3813860654632	7.17577952640946e-26	1.16622976795369e-22	48.4675828052746
AA020826	3.55564394308166	12.5361625206222	16.3183242367584	8.92254959609094e-26	1.34654019904435e-22	48.2535989247871
NM_007274	1.91520593642386	10.8179407128396	16.1073472647746	1.85610934018974e-25	2.61439187596859e-22	47.533958357284
BG478428	-2.22857983631603	9.62318589921709	-16.0189429556984	2.52706717738965e-25	3.33699220774304e-22	47.2306926167277
NM_002275	-8.11599921731916	8.05088716318456	-15.8926200298899	3.93412021479023e-25	4.88941717047576e-22	46.7955814376141
NM_001424	-2.43174879883337	10.2497376720995	-15.8237008761969	5.01292117662804e-25	5.88405547887763e-22	46.5573151031941
NM_017983	3.00122876131774	10.3417250705209	15.6525109595381	9.17547741307432e-25	1.02031308833386e-21	45.9627888673825
NM_000382	-2.28322345780978	10.2084902569878	-15.5262226740765	1.43659034646175e-24	1.5176140420022e-21	45.5217368731941
AF233336	-3.43673094081439	6.04531697858665	-15.4851208283116	1.66299203457275e-24	1.67312836697395e-21	45.3777396203365
AK000550	-3.49469670713414	6.23838234622608	-15.408723116224	2.18410340174043e-24	2.04460244220076e-21	45.1094951061878
AL136550	-3.52135816268094	8.44473397373767	-15.4034356523651	2.22575994749231e-24	2.04460244220076e-21	45.0909015358404
NM_025139	1.90864145125115	7.40895579641187	15.3737837333456	2.47469054990017e-24	2.13142950617332e-21	44.9865611559109
NM_000690	-3.52619601969219	9.95679759001292	-15.3684857138535	2.52204362241258e-24	2.13142950617332e-21	44.967906066246
NM_004143	3.75254522008222	7.627623599218	15.2777235720848	3.4915039830564e-24	2.83724985207752e-21	44.6477445943036
AF070524	3.50829782296446	8.45404289568108	15.2085032890056	4.47765309883139e-24	3.50384646933739e-21	44.4028408493342
NM_001038	-5.1482006943714	6.98746489868164	-15.1117149378844	6.34686857538283e-24	4.78916568788173e-21	44.0593390914583
AA923354	-3.50049504924839	8.47488719873505	-15.0561755495617	7.75769299790609e-24	5.65188060895724e-21	43.8616706658803
AL523158	1.98383269021763	11.5113669977133	14.9856866162466	1.00141867257242e-23	7.05265790470336e-21	43.6102082351353
AI927000	-4.47830421648468	6.1874444658496	-14.9487453992851	1.14508075619459e-23	7.80427942479977e-21	43.4781614310459
NM_022097	-5.23013496043149	6.49065652035723	-14.9189572034479	1.27596335165557e-23	8.42454802930593e-21	43.3715516148308
NM_012317	-1.60215681738061	9.28524988002215	-14.871334309868	1.51734143225049e-23	9.71466356987525e-21	43.2008686271824
NM_017734	-3.03607291256404	8.21771231235699	-14.8525615397922	1.6247224905017e-23	1.00962166997999e-20	43.133503484539
AK001105	1.67108745050812	11.16948583434	14.8266190435504	1.78586532996637e-23	1.07805036261513e-20	43.0403333147133
AI796169	-4.79762188072003	5.62080962061969	-14.7494687730208	2.36704002872473e-23	1.37725149478459e-20	42.7627281398894
AI636233	2.34102431206753	9.32101534493865	14.7405807630532	2.44524732749664e-23	1.37725149478459e-20	42.7306962888729
NM_000447	1.98903952840631	9.14950248364701	14.7347170508379	2.49826651062116e-23	1.37725149478459e-20	42.7095580933736
BE879873	-1.70294556659459	9.19916534164226	-14.7299464465768	2.54225711362169e-23	1.37725149478459e-20	42.6923571000361
NM_006393	-3.33843631339251	7.87139112095531	-14.6596567592687	3.28896532929812e-23	1.73723148693527e-20	42.4385695162536
NM_001630	-3.85896130941323	10.6897134244542	-14.62482042028	3.73757522951606e-23	1.90453040182521e-20	42.3125469450577
NM_012258	4.15969205874261	9.33190178739214	14.6213166636579	3.78598432774796e-23	1.90453040182521e-20	42.2998629911932
AA594937	-4.0590694875613	7.22887761002404	-14.5613129199731	4.72059784893765e-23	2.31946026400825e-20	42.0823908474795
X04697	-4.44258173066897	8.70281849962363	-14.5541509409922	4.84671080903021e-23	2.3273024084816e-20	42.0564017427444
NM_013342	2.00837607968712	9.88480742332936	14.5297729921008	5.30203169643184e-23	2.48936279293804e-20	41.9678890628184
NM_006663	-2.21504236039648	9.12100433386183	-14.3987815841216	8.60087303714616e-23	3.95041838106139e-20	41.4909304609292
NM_006113	-2.43028461668651	9.03591773233818	-14.3237406062312	1.13587835568057e-22	5.106135723153e-20	41.2166713407007
NM_004445	-2.85814308896095	8.76484420102545	-14.2067974805828	1.75465610373169e-22	7.72341128325901e-20	40.787782317403
AK025328	1.19070851148464	10.9314993877223	14.1781996359778	1.952056326118e-22	8.41694817514718e-20	40.6826243025164
NM_017793	3.05896513615138	10.3108697760107	14.1097171379522	2.52087330934582e-22	1.06522022559717e-19	40.430365589616
NM_005864	-4.28551646811611	7.46364722936536	-14.0819493490874	2.79676799938319e-22	1.15769124712642e-19	40.327904898211
AI700518	-2.28854295910817	9.77152092261478	-14.07697714354	2.84929689750917e-22	1.15769124712642e-19	40.3095471427911
NM_018214	-3.97722765773631	6.96445414166902	-14.0002386165605	3.79868915913131e-22	1.50829063819055e-19	40.0258086536927
NM_018281	-2.70404586657879	8.84137611801845	-13.9963199208209	3.8549647132852e-22	1.50829063819055e-19	40.0112985235451
NM_016066	1.09582503599706	10.0098706516767	13.9842849573719	4.03311111727347e-22	1.54930130337734e-19	39.9667228415482
NM_002639	-6.44645491895996	7.84766803412057	-13.9475715172883	4.62957585486628e-22	1.74667283324312e-19	39.8306237493648
J04152	-6.16438507052082	9.34037111031858	-13.9078620979601	5.37544576690838e-22	1.99249856426737e-19	39.6832182546905
AA621962	1.79757879215136	10.0323109895578	13.8751650308454	6.07991137634212e-22	2.21476495791993e-19	39.5616873154586
J02871	-3.83653778053507	5.70122068604549	-13.8284897742751	7.25014612542049e-22	2.55036679446329e-19	39.3879571917272
NM_000165	-4.09599682500348	10.2629748691769	-13.8244009017682	7.3629131394791e-22	2.55036679446329e-19	39.3727243226726
AB059408	-6.15376287402052	8.78372527485141	-13.8204354157824	7.47396757954202e-22	2.55036679446329e-19	39.3579490215497
M68520	2.25116542086442	11.3156718902229	13.8200787926267	7.48403735596006e-22	2.55036679446329e-19	39.3566201512113
NM_016339	-4.37531656318919	6.83561288413541	-13.8091998108327	7.79788890203206e-22	2.61513963051005e-19	39.3160742023268
NM_004219	1.71453886669865	11.5440315425811	13.796195520578	8.19053275854009e-22	2.68188400160875e-19	39.2675868004162
NM_007116	-4.72544765169489	8.09347635540163	-13.7942560078285	8.25077906591104e-22	2.68188400160875e-19	39.2603532857005
AU144284	-2.63193545939706	9.61236307973284	-13.774237818509	8.89933675366016e-22	2.84886646865654e-19	39.1856654925467
D90427	-4.64072647945973	7.65839285993724	-13.7530923580022	9.64039792631888e-22	3.04003473712336e-19	39.1067146337191
AF338650	-4.52415345853652	6.58414756582231	-13.7455490931274	9.91957028778118e-22	3.08206883882707e-19	39.0785361051317
NM_006389	1.21678443035754	11.3796954390327	13.7249359692872	1.07247714813685e-21	3.24023182368483e-19	39.0014958417069
NM_000142	-6.70085045028229	8.18764409274479	-13.7246759651512	1.07353383026286e-21	3.24023182368483e-19	39.0005237360226
NM_003287	-4.20492069910865	8.99000610808426	-13.7013307430403	1.17282207152292e-21	3.4900541869206e-19	38.9132042368679
NM_015320	-2.71324334502579	8.35043351205209	-13.6937606972391	1.2069678379916e-21	3.52970837236999e-19	38.8848741890378
NM_020987	-5.0919644542981	6.74592653986759	-13.6910233720263	1.21956035205892e-21	3.52970837236999e-19	38.8746282045866
M32721	1.29181404292844	10.6040236063338	13.6378262505657	1.49240265002327e-21	4.26101124185024e-19	38.6753127687042
NM_025081	-3.52115555956825	6.78247337505481	-13.6305185845583	1.53441610087547e-21	4.29288730605616e-19	38.647903902726
M83248	4.12349048125082	9.99709943116518	13.6288451008993	1.54420406692668e-21	4.29288730605616e-19	38.6416261819346
N71116	-1.40444908822176	10.1924276031502	-13.5373798117361	2.18712409036261e-21	6.00124127028327e-19	38.2979556627293
AI884867	3.38509806286545	11.6441835108073	13.5101208895541	2.42669149465471e-21	6.57322280757241e-19	38.195321656735
AL523860	1.4833827621595	10.8473410692323	13.4768184865289	2.75561965001882e-21	7.36971290703769e-19	38.0698012899414
NM_000421	-3.2852770636884	12.6426854377113	-13.4249548752325	3.35980364752078e-21	8.87324143310238e-19	37.8740335289751
NM_000175	2.50234783506495	12.4724964095372	13.4175523000658	3.45632336177026e-21	9.01545678857804e-19	37.8460626893524
M19156	-2.83530198632675	13.002001234992	-13.3573255009518	4.35313170897407e-21	1.12162154569761e-18	37.6182288548314
L10038	-1.66493767156484	8.64990578934452	-13.2537287150138	6.48037582047786e-21	1.64960699198863e-18	37.2252265444081
BF976260	-0.997136673953109	14.2913312050211	-13.2235298223003	7.27917399040924e-21	1.83088557225436e-18	37.1104027890853
NM_014759	-3.36955150915446	7.36449380308876	-13.200199568028	7.96372309435589e-21	1.97950048867707e-18	37.0216145096285
BC000915	-2.12016649659474	10.889654843748	-13.1941847496273	8.15050297145806e-21	1.99446014401644e-18	36.9987124177277
NM_005594	-1.03624781016022	14.1645975718469	-13.1922124878889	8.21270506102945e-21	1.99446014401644e-18	36.9912017930951
NM_002705	-5.93869474122489	8.04453109893282	-13.1613265091885	9.25168706247661e-21	2.22124595745461e-18	36.873518484098
NM_022817	-1.54521243327897	9.21718342723131	-13.1502130653065	9.65714868035044e-21	2.29254199234207e-18	36.8311433480341
M25813	-4.64948563502029	8.14532549607098	-13.1404844402272	1.00267741943066e-20	2.35384094641456e-18	36.7940353919721
BE044614	-4.98522394444049	8.06880431320848	-13.1084786969354	1.13465203837039e-20	2.62218094396893e-18	36.6718695729191
NM_000227	-3.70398612129987	6.94052661843391	-13.1068528784098	1.14180540914966e-20	2.62218094396893e-18	36.665660306038
NM_003890	-4.12682116409088	7.4555249826298	-13.0913164082727	1.21249993307317e-20	2.75459124580323e-18	36.6063068183411
NM_000137	2.20780031843265	10.2484405041397	13.0840189770873	1.24721253362676e-20	2.80330919260278e-18	36.5784179475816
