node_a	node_b	shared	ref
10652	9206	0	0
10652	8778	0	0
10652	12361	0	0
10652	13378	0	0
10652	5408	0	0
10652	635	0	0
10652	0050741	0	0
10652	4481	0	0
10652	986	0	0
10652	332	0	0
10652	7147	0	0
10652	2841	0	0
10652	1936	0	0
10652	3310	0	0
10652	14227	0	0
10652	184	0	0
10652	1319	0	0
10652	1612	0	0
10652	4362	0	0
10652	3083	0	0
10652	219	0	0
10652	3393	0	0
10652	12930	0	0
10652	1826	0	0
10652	5041	0	0
10652	1312	0	0
10652	2994	0	0
10652	11714	0	0
10652	1686	0	0
10652	13189	0	0
10652	11934	0	0
10652	2531	0	0
10652	2043	0	0
10652	10763	0	0
10652	1459	0	0
10652	263	0	0
10652	1024	0	0
10652	3571	0	0
10652	1324	0	0
10652	0060073	0	0
10652	12365	0	0
10652	3070	0	0
10652	1909	0	0
10652	14221	0	0
10652	6364	0	0
10652	2377	0	0
10652	4045	0	0
10652	585	0	0
10652	0050742	0	0
10652	9970	0	0
10652	2174	0	0
10652	11476	0	0
10652	2394	0	0
10652	1793	0	0
10652	4989	0	0
10652	1192	0	0
10652	11612	0	0
10652	12236	0	0
10652	10283	0	0
10652	8893	0	0
10652	9008	0	0
10652	7148	0	0
10652	1115	0	0
10652	4159	0	0
10652	10534	0	0
10652	9074	0	0
10652	418	0	0
10652	2998	0	0
10652	3277	0	0
10652	1781	0	0
10652	9744	0	0
10652	9352	0	0
10652	8577	0	0
10652	11054	0	0
10652	363	0	0
10652	12306	0	0
9206	8778	0	0
9206	12361	0	0
9206	13378	0	0
9206	5408	0	0
9206	635	0	0
9206	0050741	0	0
9206	4481	0	0
9206	986	0	0
9206	332	0	0
9206	7147	0	0
9206	2841	0	0
9206	1936	0	0
9206	3310	0	0
9206	14227	0	0
9206	184	0	0
9206	1319	0	0
9206	1612	0	0
9206	4362	0	0
9206	3083	0	0
9206	219	0	0
9206	3393	0	0
9206	12930	0	0
9206	1826	0	0
9206	5041	0	0
9206	1312	0	0
9206	2994	0	0
9206	11714	0	0
9206	1686	0	0
9206	13189	0	0
9206	11934	0	0
9206	2531	0	0
9206	2043	0	0
9206	10763	0	0
9206	1459	0	0
9206	263	0	0
9206	1024	0	0
9206	3571	0	0
9206	1324	0	0
9206	0060073	0	0
9206	12365	0	0
9206	3070	0	0
9206	1909	0	0
9206	14221	0	0
9206	6364	0	0
9206	2377	0	0
9206	4045	0	0
9206	585	0	0
9206	0050742	0	0
9206	9970	1	1
9206	2174	0	0
9206	11476	0	0
9206	2394	0	0
9206	1793	0	0
9206	4989	0	0
9206	1192	0	0
9206	11612	0	0
9206	12236	0	0
9206	10283	0	0
9206	8893	0	0
9206	9008	0	0
9206	7148	0	0
9206	1115	0	0
9206	4159	0	0
9206	10534	0	0
9206	9074	0	0
9206	418	0	0
9206	2998	0	0
9206	3277	0	0
9206	1781	0	0
9206	9744	0	0
9206	9352	0	0
9206	8577	0	0
9206	11054	0	0
9206	363	0	0
9206	12306	0	0
8778	12361	0	0
8778	13378	0	0
8778	5408	0	0
8778	635	0	0
8778	0050741	0	0
8778	4481	0	0
8778	986	0	0
8778	332	0	0
8778	7147	2	1
8778	2841	1	1
8778	1936	0	0
8778	3310	2	1
8778	14227	0	0
8778	184	1	1
8778	1319	0	0
8778	1612	2	1
8778	4362	0	0
8778	3083	1	1
8778	219	2	1
8778	3393	0	0
8778	12930	0	0
8778	1826	0	0
8778	5041	2	1
8778	1312	1	1
8778	2994	1	1
8778	11714	0	0
8778	1686	0	0
8778	13189	1	1
8778	11934	1	1
8778	2531	3	1
8778	2043	0	0
8778	10763	0	0
8778	1459	0	0
8778	263	2	1
8778	1024	1	1
8778	3571	0	0
8778	1324	2	1
8778	0060073	2	1
8778	12365	0	0
8778	3070	0	0
8778	1909	0	0
8778	14221	0	0
8778	6364	0	0
8778	2377	3	1
8778	4045	1	1
8778	585	0	0
8778	0050742	0	0
8778	9970	1	1
8778	2174	0	0
8778	11476	0	0
8778	2394	0	0
8778	1793	1	1
8778	4989	0	0
8778	1192	0	0
8778	11612	0	0
8778	12236	0	0
8778	10283	2	1
8778	8893	2	1
8778	9008	2	1
8778	7148	2	1
8778	1115	0	0
8778	4159	1	1
8778	10534	2	1
8778	9074	2	1
8778	418	2	1
8778	2998	1	1
8778	3277	0	0
8778	1781	0	0
8778	9744	0	0
8778	9352	0	0
8778	8577	3	1
8778	11054	2	1
8778	363	0	0
8778	12306	0	0
12361	13378	0	0
12361	5408	0	0
12361	635	0	0
12361	0050741	0	0
12361	4481	0	0
12361	986	0	0
12361	332	0	0
12361	7147	0	0
12361	2841	0	0
12361	1936	0	0
12361	3310	0	0
12361	14227	0	0
12361	184	0	0
12361	1319	0	0
12361	1612	0	0
12361	4362	0	0
12361	3083	0	0
12361	219	0	0
12361	3393	0	0
12361	12930	0	0
12361	1826	0	0
12361	5041	0	0
12361	1312	0	0
12361	2994	0	0
12361	11714	0	0
12361	1686	0	0
12361	13189	0	0
12361	11934	0	0
12361	2531	0	0
12361	2043	0	0
12361	10763	0	0
12361	1459	0	0
12361	263	0	0
12361	1024	0	0
12361	3571	0	0
12361	1324	0	0
12361	0060073	0	0
12361	12365	0	0
12361	3070	0	0
12361	1909	0	0
12361	14221	0	0
12361	6364	0	0
12361	2377	0	0
12361	4045	0	0
12361	585	0	0
12361	0050742	0	0
12361	9970	0	0
12361	2174	0	0
12361	11476	0	0
12361	2394	0	0
12361	1793	0	0
12361	4989	0	0
12361	1192	0	0
12361	11612	0	0
12361	12236	0	0
12361	10283	0	0
12361	8893	0	0
12361	9008	0	0
12361	7148	0	0
12361	1115	0	0
12361	4159	0	0
12361	10534	0	0
12361	9074	0	0
12361	418	0	0
12361	2998	0	0
12361	3277	0	0
12361	1781	0	0
12361	9744	0	0
12361	9352	0	0
12361	8577	0	0
12361	11054	0	0
